number,short_description,Class,description
INC0577679,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ,R,"Please can the delivery pass be removed from the attached Staff Accounts,Thanks! "
INC0572706,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0567503,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0566569,Annual delivery pass needs removing on Marisota account SUPR DBA REQ,R,Please can you remove the delivery pass from the attached Marisota Account. Thanks!
INC0561586,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts. Thank you!
INC0558886,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0554282,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0551436,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can you remove the delivery pass from the attached Staff Accounts ? Thank you.
INC0549333,Delivery pass needs removing on Staff Accounts order SUPRA DBA Req,R,Please can the annual delivery pass be removed from the attatched Staff Accounts? Thank You!
INC0544192,Delivery pass needs removing from Staff Accounts orders SUPRA DBA Req,R,Please can you remove the delivery pass from the attached Staff Accounts. Many thanks!
INC0537440,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,"Please can you remove the annual delivery pass from the attached Staff Accounts,thanks! "
INC0534280,Delivery pass needs removing on  Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts.
INC0532119,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ,R,"Hi the delivery passes need removing from these staff accounts. This is still being added to Staff accounts for £0.01,please can you remove this. Thank You! "
INC0529468,E0079528 Keith Ingle,R,"From: Amanda Doyle Sent: 22 February 2018 04:29 PM To: Serviceline Cc: Carainn Powney Subject: E0079528 Keith Ingle
 

Hi Guys

 

Can you remove ""staff account ""status and entitlements on this account as Keith is

no longer works for Oxendales Eire.

 

Kind Regards

Amanda Doyle

Team Manager

EXT: 8705

Oxendales & Co. LTD

 
"
INC0528972,Annual delivery pass being charged on STAFF ACCOUNTS  at £0.01,R,Please can you remove the annual delivery pass from these staff accounts. Please can you also check there is no issue with the pricing of the delivery pass on the normal accounts.
INC0524983,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff accounts? Thank You
INC0522565,Need To Remove Promo Code -      DB2 DBA Request,O,"Short Description:Need To Remove Promo Code - OV139SQ
Fault:N/a 
Error Message:N/A
Affected People:1
Diagnosis (Application session restarted before raising incidents) : Brenda need to remove the Promo Code from the staff account mentioned below:-

Account # X7079977
Promo Code # OV139SQ
Last date Applied : 24-Nov-2017

Contact Number:3791"
INC0511076,Delivery passes needs removing from staff account orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached staff accounts? Thank you.
INC0505435,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts? Thank you.
INC0503771,MRS JACQUELINE RALSTON          T6409483,P,"From: Gary Levine <Gary.Levine@teleperformance.com> Sent: 12 December 2017 08:31 AM To: Serviceline Cc: catherine.mccusker@teleperformance.com Subject: MRS JACQUELINE RALSTON T6409483
 
Hi

Customer has paid for the following:

12JUL   RV 139 CM DELIVERY SUB OF (CC)    £9.95  

Customer is now incurring delivery charge of £3.99 per order when it should be free. How can we reinstate the offer of free unlimited next day delivery?

Thank you


Gary Levine
JD Williams Blended Service
Telephone 01612383594

**********************************************************************
The information contained in this communication is privileged and confidential.  The content is intended only for the use of the individual or entity named above. If the reader of this message is not the intended recipient, you are hereby notified that any dissemination, distribution or copying of this communication is strictly prohibited.  If you have received this communication in error, please notify me immediately by telephone or e-mail, and delete this message from your systems.

Teleperformance is a trading style of Teleperformance Ltd: Reg No. 02060289 England: Registered Office: Spectrum House, Bond Street, Bristol, BS1 3LG. VAT No.763 0980 18.

Please consider the environmental impact of needlessly printing this e-mail.
**********************************************************************


Click here to report this email as spam.
"
INC0496369,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please remove delivery pass from all staff accounts on the attached spreadsheet. Thank you.
INC0493290,Priority 1 - Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Delivery pass purchased on staff accounts needs removing please. Attached spreadsheet with the updated list of accounts. Thank you.
